date,total_jobs,top_departments
2026-01-03,40,Not specified: 40
2026-01-05,40,Not specified: 40
2026-01-14,40,Not specified: 40
2026-01-21,40,Not specified: 40
2026-01-27,40,Not specified: 40
2026-01-28,40,Not specified: 40
2026-01-29,40,Not specified: 40
2026-01-30,40,Not specified: 40
2026-01-31,40,Not specified: 40
2026-02-01,40,Not specified: 40
2026-02-02,40,Not specified: 40
2026-02-03,40,Not specified: 40
2026-02-04,40,Not specified: 40
2026-02-05,40,Not specified: 40
2026-02-06,40,Not specified: 40
2026-02-07,399,Not specified: 399
2026-02-08,399,Not specified: 399
2026-02-09,395,Not specified: 395
2026-02-10,385,Not specified: 385
2026-02-11,401,Not specified: 401
2026-02-12,413,Not specified: 413
2026-02-13,416,Not specified: 416
2026-02-14,415,Not specified: 415
2026-02-15,415,Not specified: 415
2026-02-16,408,Not specified: 408
2026-02-20,404,Not specified: 404
2026-02-21,402,Not specified: 402
2026-02-22,401,Not specified: 401
